,Word,Root
0,آب,ءاب
1,آبَاء,ءبو
2,آباء,ءبو
3,آبَاد,ءبد
4,آباد,ءبد
5,آبَار,بءر
6,آبار,بءر
7,آبَاط,ءبط
8,آباط,ءبط
9,آبَال,ءبل
10,آبال,ءبل
11,آبِدَة,ءبد
12,آبدة,ءبد
13,آتَاء,ءتو
14,آتاء,ءتو
15,آتَاب,ءتب
16,آتاب,ءتب
17,آتُب,ءتب
18,آتب,ءتب
19,آتِدَة,ءتد
20,آتدة,ءتد
21,آثَار,ءثر
22,آثار,ءثر
23,آثَام,ءثم
24,آثام,ءثم
25,آجَال,ءجل
26,آجال,ءجل
27,آجَام,ءجم
28,آجام,ءجم
29,آجِل,ءجل
30,آجل,ءجل
31,آجِلَة,ءجل
32,آجلة,ءجل
33,آجِم,ءجم
34,آجم,ءجم
35,آح,ءيح
36,آحاد,ءحد
37,آحَاد,ءحد
38,آخَاء,ءخو
39,آخاء,ءخو
40,آخَاذ,ءخذ
41,آخاذ,ءخذ
42,آخَر,ءخر
43,آخر,ءخر
44,آخِر,ءخر
45,آخِرَة,ءخر
46,آخرة,ءخر
47,آخِيَة,ءخو
48,آخية,ءخو
49,آخِيَّة,ءخو
50,آد,ءيد
51,آدَاب,ءدب
52,آداب,ءدب
53,آدَام,ءدم
54,آدام,ءدم
55,آدَر,ءدر
56,آدر,ءدر
57,آدَم,ءدم
58,آدم,ءدم
59,آدِب,ءدب
60,آدب,ءدب
61,آدِمَة,ءدم
62,آدمة,ءدم
63,آذَان,ءذن
64,آذان,ءذن
65,آذَن,ءذن
66,آذن,ءذن
67,آذِن,ءذن
68,آذِيّ,ءذي
69,آذي,ءذي
70,آر,ءور
71,آراب,ءرب
72,آرَاء,رءي
73,آراء,رءي
74,آرَاب,ءرب
75,آرَام,ءرم
76,آرام,ءرم
77,آرِق,ءرق
78,آرق,ءرق
79,آرِم,ءرم
80,آرم,ءرم
81,آرِيّ,ءري
82,آري,ءري
83,آزَاج,ءزج
84,آزاج,ءزج
85,آزَار,ءزر
86,آزار,ءزر
87,آزَال,ءزل
